date,country,H,I,S,D,M
2021-04-01,Afghanistan,37,0,0,0,0
2021-04-01,Sweden,9,0,0,0,0
2021-04-01,Japan,121,0,0,0,0
2021-04-02,Afghanistan,30,7,0,0,0
2021-04-02,Sweden,5,4,0,0,0
2021-04-02,Japan,87,34,0,0,0
2021-04-03,Afghanistan,19,18,0,0,0
2021-04-03,Sweden,3,6,0,0,0
2021-04-03,Japan,58,63,0,0,0
2021-04-04,Afghanistan,15,22,0,0,0
2021-04-04,Sweden,2,7,0,0,0
2021-04-04,Japan,36,85,0,0,0
2021-04-05,Afghanistan,12,25,0,0,0
2021-04-05,Sweden,1,8,0,0,0
2021-04-05,Japan,26,95,0,0,0
2021-04-06,Afghanistan,11,26,0,0,0
2021-04-06,Sweden,0,9,0,0,0
2021-04-06,Japan,24,97,0,0,0
2021-04-07,Afghanistan,11,19,3,0,4
2021-04-07,Sweden,0,5,2,0,2
2021-04-07,Japan,21,66,15,0,19
2021-04-08,Afghanistan,9,10,4,0,14
2021-04-08,Sweden,0,3,4,0,2
2021-04-08,Japan,18,40,26,0,37
2021-04-09,Afghanistan,8,7,6,0,16
2021-04-09,Sweden,0,2,5,0,2
2021-04-09,Japan,14,22,36,0,49
2021-04-10,Afghanistan,7,5,6,0,19
2021-04-10,Sweden,0,1,5,0,3
2021-04-10,Japan,13,13,38,0,57
2021-04-11,Afghanistan,7,4,6,0,20
2021-04-11,Sweden,0,0,6,0,3
2021-04-11,Japan,12,12,38,0,59
2021-04-12,Afghanistan,7,4,6,0,20
2021-04-12,Sweden,0,0,6,0,3
2021-04-12,Japan,10,11,38,0,62
2021-04-13,Afghanistan,5,4,7,0,21
2021-04-13,Sweden,0,0,6,0,3
2021-04-13,Japan,9,9,40,0,63
2021-04-14,Afghanistan,5,3,8,0,21
2021-04-14,Sweden,0,0,6,0,3
2021-04-14,Japan,9,5,42,0,65
2021-04-15,Afghanistan,4,3,8,0,22
2021-04-15,Sweden,0,0,6,0,3
2021-04-15,Japan,9,4,43,0,65
2021-04-16,Afghanistan,4,3,8,0,22
2021-04-16,Sweden,0,0,6,0,3
2021-04-16,Japan,7,5,43,0,66
2021-04-17,Afghanistan,4,3,8,0,22
2021-04-17,Sweden,0,0,6,0,3
2021-04-17,Japan,7,3,43,0,68
2021-04-18,Afghanistan,4,1,8,0,24
2021-04-18,Sweden,0,0,6,0,3
2021-04-18,Japan,7,2,43,0,69
2021-04-19,Afghanistan,4,1,8,0,24
2021-04-19,Sweden,0,0,6,0,3
2021-04-19,Japan,6,3,43,0,69
2021-04-20,Afghanistan,3,1,8,0,25
2021-04-20,Sweden,0,0,6,0,3
2021-04-20,Japan,5,4,43,0,69
2021-04-21,Afghanistan,3,1,8,0,25
2021-04-21,Sweden,0,0,6,0,3
2021-04-21,Japan,4,3,44,0,70
2021-04-22,Afghanistan,2,2,5,0,28
2021-04-22,Sweden,0,0,4,0,5
2021-04-22,Japan,4,3,29,5,80
2021-04-23,Afghanistan,2,2,4,0,29
2021-04-23,Sweden,0,0,2,0,7
2021-04-23,Japan,4,3,18,6,90
2021-04-24,Afghanistan,1,3,2,0,31
2021-04-24,Sweden,0,0,1,0,8
2021-04-24,Japan,4,2,9,10,96
2021-04-25,Afghanistan,1,2,3,0,31
2021-04-25,Sweden,0,0,1,0,8
2021-04-25,Japan,3,2,7,10,99
2021-04-26,Afghanistan,1,2,3,0,31
2021-04-26,Sweden,0,0,0,0,9
2021-04-26,Japan,3,1,8,10,99
2021-04-27,Afghanistan,1,1,3,0,32
2021-04-27,Sweden,0,0,0,0,9
2021-04-27,Japan,3,1,8,10,99
