date,country,H,I,S,D,M
2021-04-01,Afghanistan,37,0,0,0,0
2021-04-01,Sweden,9,0,0,0,0
2021-04-01,Japan,121,0,0,0,0
2021-04-02,Afghanistan,27,10,0,0,0
2021-04-02,Sweden,6,3,0,0,0
2021-04-02,Japan,78,43,0,0,0
2021-04-03,Afghanistan,18,19,0,0,0
2021-04-03,Sweden,6,3,0,0,0
2021-04-03,Japan,53,68,0,0,0
2021-04-04,Afghanistan,14,23,0,0,0
2021-04-04,Sweden,3,6,0,0,0
2021-04-04,Japan,39,82,0,0,0
2021-04-05,Afghanistan,13,24,0,0,0
2021-04-05,Sweden,3,6,0,0,0
2021-04-05,Japan,28,93,0,0,0
2021-04-06,Afghanistan,12,25,0,0,0
2021-04-06,Sweden,1,8,0,0,0
2021-04-06,Japan,24,97,0,0,0
2021-04-07,Afghanistan,11,16,6,0,4
2021-04-07,Sweden,1,5,3,0,0
2021-04-07,Japan,16,62,16,0,27
2021-04-08,Afghanistan,9,9,8,0,11
2021-04-08,Sweden,1,5,3,0,0
2021-04-08,Japan,14,39,26,0,42
2021-04-09,Afghanistan,9,5,10,0,13
2021-04-09,Sweden,1,2,3,0,3
2021-04-09,Japan,11,28,36,0,46
2021-04-10,Afghanistan,9,4,11,0,13
2021-04-10,Sweden,1,2,3,0,3
2021-04-10,Japan,10,18,38,0,55
2021-04-11,Afghanistan,9,3,12,0,13
2021-04-11,Sweden,0,1,5,0,3
2021-04-11,Japan,9,15,39,0,58
2021-04-12,Afghanistan,8,3,13,0,13
2021-04-12,Sweden,0,1,5,0,3
2021-04-12,Japan,9,7,39,0,66
2021-04-13,Afghanistan,7,2,13,0,15
2021-04-13,Sweden,0,1,5,0,3
2021-04-13,Japan,8,6,39,0,68
2021-04-14,Afghanistan,7,2,13,0,15
2021-04-14,Sweden,0,1,5,0,3
2021-04-14,Japan,7,4,40,0,70
2021-04-15,Afghanistan,6,3,13,0,15
2021-04-15,Sweden,0,1,5,0,3
2021-04-15,Japan,5,5,41,0,70
2021-04-16,Afghanistan,6,3,13,0,15
2021-04-16,Sweden,0,0,6,0,3
2021-04-16,Japan,4,5,42,0,70
2021-04-17,Afghanistan,5,3,13,0,16
2021-04-17,Sweden,0,0,6,0,3
2021-04-17,Japan,3,6,42,0,70
2021-04-18,Afghanistan,4,3,14,0,16
2021-04-18,Sweden,0,0,6,0,3
2021-04-18,Japan,3,5,43,0,70
2021-04-19,Afghanistan,3,4,14,0,16
2021-04-19,Sweden,0,0,6,0,3
2021-04-19,Japan,3,4,43,0,71
2021-04-20,Afghanistan,3,3,15,0,16
2021-04-20,Sweden,0,0,6,0,3
2021-04-20,Japan,3,2,43,0,73
2021-04-21,Afghanistan,3,3,15,0,16
2021-04-21,Sweden,0,0,6,0,3
2021-04-21,Japan,3,1,43,0,74
2021-04-22,Afghanistan,3,2,10,0,22
2021-04-22,Sweden,0,0,3,1,5
2021-04-22,Japan,3,0,27,3,88
2021-04-23,Afghanistan,3,1,9,0,24
2021-04-23,Sweden,0,0,3,1,5
2021-04-23,Japan,2,1,17,9,92
2021-04-24,Afghanistan,3,0,8,1,25
2021-04-24,Sweden,0,0,3,1,5
2021-04-24,Japan,2,1,7,10,101
2021-04-25,Afghanistan,3,0,7,1,26
2021-04-25,Sweden,0,0,3,1,5
2021-04-25,Japan,1,2,5,10,103
2021-04-26,Afghanistan,2,1,6,1,27
2021-04-26,Sweden,0,0,1,1,7
2021-04-26,Japan,1,2,4,10,104
2021-04-27,Afghanistan,2,1,5,1,28
2021-04-27,Sweden,0,0,1,1,7
2021-04-27,Japan,0,3,4,10,104
